[1.805s][info][gc,heap      ] GC(19) Humongous regions: 0->0
[1.805s][info][gc,metaspace ] GC(19) Metaspace: 4540K->4540K(1056768K)
[1.805s][info][gc           ] GC(19) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.857ms
[1.805s][info][gc,cpu       ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[1.901s][info][gc,start     ] GC(20) Pause Young (G1 Evacuation Pause)
[1.901s][info][gc,task      ] GC(20) Using 4 workers of 4 for evacuation
[1.902s][info][gc,phases    ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[1.902s][info][gc,phases    ] GC(20)   Evacuate Collection Set: 0.5ms
[1.902s][info][gc,phases    ] GC(20)   Post Evacuate Collection Set: 0.1ms
[1.902s][info][gc,phases    ] GC(20)   Other: 0.1ms
[1.902s][info][gc,heap      ] GC(20) Eden regions: 159->0(159)
[1.902s][info][gc,heap      ] GC(20) Survivor regions: 1->1(20)
[1.902s][info][gc,heap      ] GC(20) Old regions: 1->1
[1.902s][info][gc,heap      ] GC(20) Humongous regions: 0->0
[1.902s][info][gc,metaspace ] GC(20) Metaspace: 4540K->4540K(1056768K)
[1.902s][info][gc           ] GC(20) Pause Young (G1 Evacuation Pause) 159M->1M(267M) 0.881ms
[1.902s][info][gc,cpu       ] GC(20) User=0.00s Sys=0.00s Real=0.00s
[1.995s][info][gc,start     ] GC(21) Pause Young (G1 Evacuation Pause)
[1.995s][info][gc,task      ] GC(21) Using 4 workers of 4 for evacuation
[1.996s][info][gc,phases    ] GC(21)   Pre Evacuate Collection Set: 0.0ms
[1.996s][info][gc,phases    ] GC(21)   Evacuate Collection Set: 0.3ms
[1.996s][info][gc,phases    ] GC(21)   Post Evacuate Collection Set: 0.1ms
[1.996s][info][gc,phases    ] GC(21)   Other: 0.1ms
[1.996s][info][gc,heap      ] GC(21) Eden regions: 159->0(159)
[1.996s][info][gc,heap      ] GC(21) Survivor regions: 1->1(20)
[1.996s][info][gc,heap      ] GC(21) Old regions: 1->1
[1.996s][info][gc,heap      ] GC(21) Humongous regions: 0->0
[1.996s][info][gc,metaspace ] GC(21) Metaspace: 4540K->4540K(1056768K)
[1.996s][info][gc           ] GC(21) Pause Young (G1 Evacuation Pause) 160M->0M(267M) 0.646ms
[1.996s][info][gc,cpu       ] GC(21) User=0.00s Sys=0.00s Real=0.00s
[2.089s][info][gc,start     ] GC(22) Pause Young (G1 Evacuation Pause)
[2.089s][info][gc,task      ] GC(22) Using 4 workers of 4 for evacuation
[2.090s][info][gc,phases    ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[2.090s][info][gc,phases    ] GC(22)   Evacuate Collection Set: 0.3ms
[2.090s][info][gc,phases    ] GC(22)   Post Evacuate Collection Set: 0.1ms
[2.090s][info][gc,phases    ] GC(22)   Other: 0.1ms
[2.090s][info][gc,heap      ] GC(22) Eden regions: 159->0(159)
[2.090s][info][gc,heap      ] GC(22) Survivor regions: 1->1(20)
[2.090s][info][gc,heap      ] GC(22) Old regions: 1->1
[2.090s][info][gc,heap      ] GC(22) Humongous regions: 0->0
[2.090s][info][gc,metaspace ] GC(22) Metaspace: 4540K->4540K(1056768K)
[2.090s][info][gc           ] GC(22) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.702ms
[2.090s][info][gc,cpu       ] GC(22) User=0.00s Sys=0.00s Real=0.00s
[2.187s][info][gc,start     ] GC(23) Pause Young (G1 Evacuation Pause)
[2.187s][info][gc,task      ] GC(23) Using 4 workers of 4 for evacuation
[2.188s][info][gc,phases    ] GC(23)   Pre Evacuate Collection Set: 0.0ms
[2.188s][info][gc,phases    ] GC(23)   Evacuate Collection Set: 0.3ms
[2.188s][info][gc,phases    ] GC(23)   Post Evacuate Collection Set: 0.2ms
[2.188s][info][gc,phases    ] GC(23)   Other: 0.1ms
[2.188s][info][gc,heap      ] GC(23) Eden regions: 159->0(159)
[2.188s][info][gc,heap      ] GC(23) Survivor regions: 1->1(20)
[2.188s][info][gc,heap      ] GC(23) Old regions: 1->1
[2.188s][info][gc,heap      ] GC(23) Humongous regions: 0->0
[2.188s][info][gc,metaspace ] GC(23) Metaspace: 4540K->4540K(1056768K)
[2.188s][info][gc           ] GC(23) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.776ms
[2.188s][info][gc,cpu       ] GC(23) User=0.00s Sys=0.00s Real=0.00s
[2.287s][info][gc,start     ] GC(24) Pause Young (G1 Evacuation Pause)
[2.287s][info][gc,task      ] GC(24) Using 4 workers of 4 for evacuation
[2.287s][info][gc,phases    ] GC(24)   Pre Evacuate Collection Set: 0.0ms
[2.287s][info][gc,phases    ] GC(24)   Evacuate Collection Set: 0.3ms
[2.287s][info][gc,phases    ] GC(24)   Post Evacuate Collection Set: 0.1ms
[2.287s][info][gc,phases    ] GC(24)   Other: 0.2ms
[2.287s][info][gc,heap      ] GC(24) Eden regions: 159->0(159)
[2.287s][info][gc,heap      ] GC(24) Survivor regions: 1->1(20)
[2.287s][info][gc,heap      ] GC(24) Old regions: 1->1
[2.287s][info][gc,heap      ] GC(24) Humongous regions: 0->0
[2.287s][info][gc,metaspace ] GC(24) Metaspace: 4540K->4540K(1056768K)
[2.287s][info][gc           ] GC(24) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.679ms
[2.287s][info][gc,cpu       ] GC(24) User=0.00s Sys=0.00s Real=0.00s
[2.382s][info][gc,start     ] GC(25) Pause Young (G1 Evacuation Pause)
[2.383s][info][gc,task      ] GC(25) Using 4 workers of 4 for evacuation
[2.383s][info][gc,phases    ] GC(25)   Pre Evacuate Collection Set: 0.0ms
[2.383s][info][gc,phases    ] GC(25)   Evacuate Collection Set: 0.3ms
[2.383s][info][gc,phases    ] GC(25)   Post Evacuate Collection Set: 0.1ms
[2.383s][info][gc,phases    ] GC(25)   Other: 0.4ms
[2.383s][info][gc,heap      ] GC(25) Eden regions: 159->0(159)
[2.383s][info][gc,heap      ] GC(25) Survivor regions: 1->1(20)
[2.383s][info][gc,heap      ] GC(25) Old regions: 1->1
[2.383s][info][gc,heap      ] GC(25) Humongous regions: 0->0
[2.383s][info][gc,metaspace ] GC(25) Metaspace: 4540K->4540K(1056768K)
[2.384s][info][gc           ] GC(25) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 1.061ms
[2.384s][info][gc,cpu       ] GC(25) User=0.00s Sys=0.00s Real=0.00s
[2.478s][info][gc,start     ] GC(26) Pause Young (G1 Evacuation Pause)
[2.478s][info][gc,task      ] GC(26) Using 4 workers of 4 for evacuation
[2.478s][info][gc,phases    ] GC(26)   Pre Evacuate Collection Set: 0.0ms
[2.478s][info][gc,phases    ] GC(26)   Evacuate Collection Set: 0.3ms
[2.478s][info][gc,phases    ] GC(26)   Post Evacuate Collection Set: 0.1ms
[2.478s][info][gc,phases    ] GC(26)   Other: 0.1ms
[2.478s][info][gc,heap      ] GC(26) Eden regions: 159->0(159)
[2.478s][info][gc,heap      ] GC(26) Survivor regions: 1->1(20)
[2.478s][info][gc,heap      ] GC(26) Old regions: 1->1
[2.478s][info][gc,heap      ] GC(26) Humongous regions: 0->0
[2.478s][info][gc,metaspace ] GC(26) Metaspace: 4540K->4540K(1056768K)
[2.478s][info][gc           ] GC(26) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.674ms
[2.478s][info][gc,cpu       ] GC(26) User=0.00s Sys=0.00s Real=0.00s
[2.573s][info][gc,start     ] GC(27) Pause Young (G1 Evacuation Pause)
[2.573s][info][gc,task      ] GC(27) Using 4 workers of 4 for evacuation
[2.573s][info][gc,phases    ] GC(27)   Pre Evacuate Collection Set: 0.0ms
[2.573s][info][gc,phases    ] GC(27)   Evacuate Collection Set: 0.3ms
